"WVHT","SwH","SwP","WWH","WWP","SwD","WWD","Steepness","APD","MWD","datetime","WDIR","WSPD","GST","DPD","PRES","ATMP","WTMP","DEWP"
"2.4","2.4","13.8","0.5","4","NW","E","SWELL","7.7","320","2024-11-03 03:40:00","100","3","5","14.333333333333334","1016.1","26.1","27.2",NULL
"2.6","2.6","14.8","0.5","3.6","NW","E","SWELL","7.9","311","2024-11-03 03:10:00","80","3","5","15.333333333333334","1015.9","25.5","27.1",NULL
"2.3","2.3","16","0.5","3.8","NW","ESE","SWELL","7.2","314","2024-11-03 02:40:00","100","4","6","15.666666666666666","1015.8","26.3","27.2",NULL
"2.7","2.6","14.8","0.5","4","NW","ENE","SWELL","7.8","317","2024-11-03 02:10:00","110","4","6","12.666666666666666","1015.7","26.3","27.2",NULL
"2.6","2.6","8.3","0.6","4.2","E","ESE","STEEP","7.6","91","2024-11-03 01:40:00","110","5","7","10.666666666666666","1015.6","26.4","27.2",NULL
"2.8","2.7","16","0.7","4.8","WNW","ENE","SWELL","8","303","2024-11-03 01:10:00","120","5","7","16","1015.5","26.3","27.2",NULL
"2.5","2.5","16","0.6","4.2","NW","E","SWELL","7.5","319","2024-11-03 00:40:00","120","5","7","15.666666666666666","1015.8","26.3","27.2",NULL
"2.7","2.6","14.8","0.7","4.8","WNW","ENE","SWELL","7.7","301","2024-11-03 00:10:00","110","5","7","15.333333333333334","1015.9","26.3","27.2",NULL
"2.7","2.6","16","0.7","4.2","WNW","E","SWELL","7.9","297","2024-11-02 23:40:00","110","5","7","16","1016.3","26.2","27.2",NULL
"2.7","2.6","16","0.7","4.5","NW","ENE","SWELL","8.1","314","2024-11-02 23:10:00","110","5","7","16","1016.8","26.2","27.2",NULL
"2.7","2.6","16","0.8","5.3","NW","ENE","SWELL","7.9","309","2024-11-02 22:40:00","110","6","7","14","1017.1","26.2","27.1",NULL
"2.6","2.5","10","0.8","4.8","ESE","E","AVERAGE","7.7","102","2024-11-02 22:10:00","110","6","7","12","1017.5","26.2","27.1",NULL
"3.1","3","16","0.8","3.8","NW","E","SWELL","8.6","306","2024-11-02 21:40:00","100","6","7","16","1018.2","26.2","27.1",NULL
"2.7","2.6","16","0.8","4.3","NW","E","SWELL","7.9","319","2024-11-02 21:10:00","100","6","8","16","1018.5","26.3","27.1",NULL
"3.2","3.1","16","0.9","5.6","NW","E","SWELL","8.8","310","2024-11-02 20:40:00","100","6","8","16","1018.5","26.3","27.1",NULL
"2.9","2.8","16","0.8","5.3","NW","E","SWELL","8.5","315","2024-11-02 20:10:00","100","6","8","15.666666666666666","1018.8","26.3","27.1",NULL
"2.9","2.8","14.8","0.7","4.3","NW","E","SWELL","8.5","308","2024-11-02 19:40:00","100","5","7","15.333333333333334","1018.9","26.3","27.1",NULL
"2.9","2.8","16","0.8","5","NW","E","SWELL","8.2","304","2024-11-02 19:10:00","110","6","8","16","1019","26.3","27.1",NULL
"3","2.9","16","0.8","4.8","NW","ESE","SWELL","8.3","313","2024-11-02 18:40:00","100","6","7","16","1018.8","26.2","27.1",NULL
"2.7","2.5","16","1","5","NW","E","SWELL","7.8","312","2024-11-02 18:10:00","110","6","8","15.666666666666666","1018.7","26.2","27.1",NULL
"3","3","14.8","0.6","4.5","NW","E","SWELL","8.5","312","2024-11-02 17:40:00","100","5","8","15.333333333333334","1018.4","26.1","27",NULL
"2.9","2.8","16","0.7","4.3","WNW","E","SWELL","8.1","303","2024-11-02 17:10:00","100","5","7","16","1018.1","26","27",NULL
"3.3","3.2","16","0.8","4.5","NW","ENE","SWELL","8.5","309","2024-11-02 16:40:00","100","5","8","16","1017.9","25.9","27",NULL
"3","2.8","16","0.9","4.8","WNW","E","SWELL","7.9","301","2024-11-02 16:10:00","110","5","8","16.333333333333332","1017.9","25.9","27",NULL
"3.3","3.2","17.4","0.8","5","NW","E","SWELL","8.3","307","2024-11-02 15:40:00","120","5","8","16.666666666666668","1017.8","26","27",NULL
"3","2.9","16","0.8","4.2","WNW","ENE","SWELL","7.8","295","2024-11-02 15:10:00","100","5","7","16","1017.8","26","27",NULL
"3.2","3.2","16","0.6","4","NW","E","SWELL","8.1","306","2024-11-02 14:40:00","100","5","7","15.666666666666666","1018","26","27",NULL
"2.9","2.8","14.8","0.8","5.3","NW","E","SWELL","7.9","306","2024-11-02 14:10:00","110","6","7","15.333333333333334","1018","26",NULL,NULL
"3.2","3.1","16","0.6","4.2","NW","E","SWELL","8.1","313","2024-11-02 13:40:00","90","5","7","16","1018.2","26","27.1",NULL
"3.3","3.2","16","0.8","4.8","WNW","E","SWELL","8.8","300","2024-11-02 13:10:00","110","5","7","16","1018.4","26.1","27",NULL
"3.2","3.1","16","0.9","4.2","WNW","ENE","SWELL","8.2","302","2024-11-02 12:40:00","110","6","8","16","1018.5","26.2","27.1",NULL
"3.1","2.8","16","1.1","5.3","NW","E","SWELL","7.8","304","2024-11-02 12:10:00","100","6","8","16","1018.9","26.1","27.1",NULL
"3.2","2.9","16","1.2","5.9","WNW","E","SWELL","8.1","303","2024-11-02 11:40:00","110","7","9","16.333333333333332","1019.1","26.1","27.1",NULL
"3.4","3.1","17.4","1.3","5.6","NW","E","SWELL","8.6","307","2024-11-02 11:10:00","100","7","9","16.666666666666668","1019.2","26.2","27.1",NULL
"3.1","2.8","16","1.4","6.7","WNW","E","SWELL","8","296","2024-11-02 10:40:00","110","7","10","16","1019.2","26.2","27.1",NULL
"2.7","2.3","16","1.4","6.7","WNW","E","SWELL","7.4","298","2024-11-02 10:10:00","110","8","10","16","1019.5","26.3","27.1",NULL
"3.3","2.9","16","1.7","5.9","NW","E","SWELL","8.5","317","2024-11-02 09:40:00","100","8","10","16","1019.8","26.3","27.1",NULL
"3.1","2.4","16","1.8","7.7","WNW","E","SWELL","7.8","301","2024-11-02 09:10:00","100","9","11","16","1020","26.3","27.1",NULL
"3.1","2.6","16","1.7","7.1","NW","E","SWELL","8","316","2024-11-02 08:40:00","90","8","11","16","1020.2","26.4","27.1",NULL
"3.1","2.6","16","1.7","6.7","WNW","E","SWELL","7.9","297","2024-11-02 08:10:00","90","9","11","16","1020.3","26.4","27.1",NULL
"2.7","2","16","1.8","7.1","NW","E","SWELL","7.5","307","2024-11-02 07:40:00","90","9","11","16.333333333333332","1020.2","26.4","27.1",NULL
"2.9","2.3","17.4","1.8","6.7","NW","E","SWELL","7.6","308","2024-11-02 07:10:00","90","9","11","17","1020.1","26.4","27.1",NULL
"3.3","2.7","17.4","1.8","7.7","NW","E","SWELL","8.1","312","2024-11-02 06:40:00","90","8","11","16.666666666666668","1020.1","26.5","27.1",NULL
"3.3","2.8","16","1.7","7.1","WNW","E","SWELL","8.2","303","2024-11-02 06:10:00","90","8","11","16","1019.8","26.5","27.1",NULL
"3.2","2.6","16","1.9","7.7","NW","E","SWELL","7.9","311","2024-11-02 05:40:00","100","9","11","16.333333333333332","1019.5","26.5","27.1",NULL
"3.6","3.2","17.4","1.8","6.2","NW","E","SWELL","8.8","310","2024-11-02 05:10:00","100","8","10","16.666666666666668","1019.3","26.4","27.1",NULL
"3.4","2.8","16","2","7.1","NW","ENE","SWELL","8.3","321","2024-11-02 04:40:00","90","9","11","16.333333333333332","1019","26.2","27.1",NULL
"3.4","2.7","17.4","2.1","7.7","NW","E","SWELL","7.9","323","2024-11-02 04:10:00","100","8","11","17","1018.7","26.3","27.1",NULL
"3.3","2.8","17.4","1.6","6.2","NNW","ENE","SWELL","7.8","329","2024-11-02 03:40:00","90","8","11","17","1018.6","26.5","27.1",NULL
"3.2","2.4","17.4","2.2","7.7","NW","ENE","SWELL","7.7","314","2024-11-02 03:10:00","100","9","11","17","1018.5","26.5","27.1",NULL
"3.2","2.6","17.4","1.9","6.7","NW","E","SWELL","8","308","2024-11-02 02:40:00","90","9","11","17","1018.5","26.5","27.2",NULL
"3.5","2.8","17.4","2","7.7","NW","E","SWELL","8.3","310","2024-11-02 02:10:00","90","9","11","17","1018.3","26.5","27.2",NULL
"3.2","2.2","17.4","2.3","8.3","WNW","E","AVERAGE","7.4","301","2024-11-02 01:40:00","100","9","12","17","1018.4","26.5","27.2",NULL
"3.4","2.7","17.4","2","5.9","NW","E","SWELL","8.2","319","2024-11-02 01:10:00","90","9","11","14.666666666666666","1018.3","26.5","27.2",NULL
"3.3","2.5","10","2.1","7.1","E","E","AVERAGE","7.5","85","2024-11-02 00:40:00","100","8","10","12.333333333333334","1018.6","26.5","27.2",NULL
"3","2.4","17.4","1.8","7.7","NW","ENE","SWELL","7.4","320","2024-11-02 00:10:00","90","8","11","14.666666666666666","1018.7","26.5","27.2",NULL
"3.4","2.6","10","2.2","7.7","E","E","AVERAGE","7.8","97","2024-11-01 23:40:00","100","9","12","10","1019","26.6","27.2",NULL
"3.1","2.4","10","1.9","7.1","E","E","AVERAGE","7.5","83","2024-11-01 23:10:00","90","9","11","10","1019.5","26.5","27.2",NULL
"3.1","2.5","10","1.9","7.7","E","E","AVERAGE","7.6","93","2024-11-01 22:40:00","90","8","10","9.333333333333334","1019.9","26.5","27.2",NULL
"3","2.3","8.3","1.8","5.9","E","ENE","STEEP","7.2","88","2024-11-01 22:10:00","80","9","12","8.666666666666666","1020.4","26.1","27.2",NULL
"2.9","2.1","10","2","7.7","E","E","AVERAGE","7.3","80","2024-11-01 21:40:00","80","9","11","9.333333333333334","1020.8","26.1","27.2",NULL
"2.8","2.1","8.3","1.8","5.6","E","ENE","STEEP","7.2","85","2024-11-01 21:10:00","80","9","11","8.666666666666666","1021.1","25.8","27.1",NULL
"2.7","1.9","10","1.9","5.6","ENE","E","AVERAGE","7.2","68","2024-11-01 20:40:00","80","9","12","10.333333333333334","1021.3","25.9","27.1",NULL
"2.6","2.4","11.4","0.9","4.5","E","ENE","SWELL","6.9","101","2024-11-01 20:10:00","110","5","7","10.666666666666666","1021.6","24.9","27.1",NULL
"2.7","2.7","10","0.5","3.3","E","ENE","AVERAGE","7.1","94","2024-11-01 19:40:00","70","4","7","9.666666666666666","1021.4","24.9","27.1",NULL
"2.7","2.2","9.1","1.4","5.6","E","ENE","AVERAGE","6.9","89","2024-11-01 19:10:00","80","7","9","8.666666666666666","1021.4","25.8","27.1",NULL
"2.7","2.2","8.3","1.6","7.1","E","E","STEEP","7.1","88","2024-11-01 18:40:00","80","8","11","8.333333333333334","1021.2","25.8","27.1",NULL
"3.1","2.8","9.1","1.3","5.9","E","E","STEEP","7.4","88","2024-11-01 18:10:00","90","7","9","9","1020.9","25.2","27.1",NULL
"2.7","1.8","9.1","2","7.7","E","E","AVERAGE","7","85","2024-11-01 17:40:00","110","9","11","9","1020.9","25.3","27.1",NULL
"2.7","1.9","9.1","2","7.1","ENE","E","AVERAGE","7","75","2024-11-01 17:10:00","70","9","11","8.666666666666666","1020.5","25.7","27.1",NULL
"2.5","2","8.3","1.5","5.3","E","E","STEEP","6.6","87","2024-11-01 16:40:00","80","8","9","8.666666666666666","1020.2","26","27.1",NULL
"2.8","2.2","10","1.7","7.1","ENE","E","AVERAGE","6.8","69","2024-11-01 16:10:00","80","8","10","10","1020","25.9","27.1",NULL
"2.9","2.2","10","1.9","7.1","E","ENE","AVERAGE","7","86","2024-11-01 15:40:00","80","8","10","10","1020","25.7","27.1",NULL
"3.2","2.7","10","1.8","6.7","E","E","AVERAGE","7.2","85","2024-11-01 15:10:00","80","8","10","10","1020","25.7","27.1",NULL
"2.9","2.4","10","1.6","5.3","E","E","AVERAGE","7.1","92","2024-11-01 14:40:00","80","8","10","9.666666666666666","1020.1","25.8","27.1",NULL
"3","2.5","9.1","1.7","5.9","E","E","STEEP","6.9","85","2024-11-01 14:10:00","70","7","9","9.333333333333334","1020.1","25.9","27.1",NULL
"2.9","2.3","10","1.8","6.7","E","E","AVERAGE","6.9","88","2024-11-01 13:40:00","70","8","10","10","1020.2","25.9","27.1",NULL
"2.8","2","10","2","6.2","E","E","AVERAGE","6.7","84","2024-11-01 13:10:00","80","8","11","10","1020.4","26.1","27.2",NULL
"2.9","2.1","10","1.9","7.7","E","E","AVERAGE","7","98","2024-11-01 12:40:00","80","8","10","9.666666666666666","1020.7","26.2","27.2",NULL
"2.9","2.3","9.1","1.8","7.1","E","ESE","AVERAGE","7","87","2024-11-01 12:10:00","80","8","10","8.666666666666666","1021","26.3","27.2",NULL
"3","2.4","8.3","1.8","6.7","E","ENE","STEEP","7","93","2024-11-01 11:40:00","80","8","10","8.666666666666666","1021.3","26.2","27.2",NULL
"2.8","2.3","10","1.5","6.7","E","E","AVERAGE","7.1","83","2024-11-01 11:10:00","80","8","10","10","1021.6","26.3","27.2",NULL
"2.9","2.4","10","1.6","6.7","ENE","E","AVERAGE","7.1","78","2024-11-01 10:40:00","80","8","10","10.333333333333334","1021.8","26.2","27.2",NULL
"2.7","2.1","10.8","1.7","7.1","E","ENE","AVERAGE","6.8","92","2024-11-01 10:10:00","90","7","10","10.666666666666666","1022.1","25.6","27.2",NULL
"2.8","2.5","10","1.3","5.9","E","E","AVERAGE","6.8","89","2024-11-01 09:40:00","90","6","9","10","1022.5","25.1","27.2",NULL
"3","1.7","10","2.5","5","ENE","E","AVERAGE","7.3","74","2024-11-01 09:10:00","80","10","13","10","1022.6","25.5","27.2",NULL
"2.9","1.7","10","2.4","6.7","E","E","AVERAGE","7.1","95","2024-11-01 08:40:00","80","11","13","10","1022.6","25.4","27.2",NULL
"2.8","2.2","10","1.8","4.3","E","ENE","AVERAGE","7.1","79","2024-11-01 08:10:00","70","8","10","9.666666666666666","1022.5","26.1","27.2",NULL
"2.8","2.3","9.1","1.7","6.2","E","ENE","AVERAGE","7.2","96","2024-11-01 07:40:00","80","8","10","9.333333333333334","1022.4","26.4","27.2",NULL
"2.7","2","10","1.8","7.1","E","E","AVERAGE","7","81","2024-11-01 07:10:00","70","9","11","10","1022.3","26.4","27.2",NULL
"2.8","2.3","10","1.6","6.7","ENE","E","AVERAGE","7","65","2024-11-01 06:40:00","80","8","10","10","1022.2","26.4","27.2",NULL
"2.8","2.2","10","1.7","7.1","E","ENE","AVERAGE","6.9","83","2024-11-01 06:10:00","80","8","10","10","1022","26.5","27.2",NULL
"2.9","2.2","10","1.9","6.7","E","E","AVERAGE","7.1","101","2024-11-01 05:40:00","80","8","10","10.333333333333334","1021.7","26.5","27.2",NULL
"2.7","1.9","10.8","1.9","5.9","NE","E","AVERAGE","6.9","44","2024-11-01 05:10:00","70","9","11","10.666666666666666","1021.2","26.4","27.2",NULL
"2.8","1.9","10","2","8.3","E","E","AVERAGE","7","82","2024-11-01 04:40:00","70","9","11","9.333333333333334","1021","26.5","27.2",NULL
"3","2.2","8.3","2","5.9","E","E","STEEP","6.8","91","2024-11-01 04:10:00","80","8","11","8.333333333333334","1020.6","26.5","27.2",NULL
"3","2.4","9.1","1.9","7.1","E","ENE","STEEP","7.1","86","2024-11-01 03:40:00","80","8","11","9","1020.6","26.6","27.2",NULL
"2.9","1.9","9.1","2.2","6.2","E","E","AVERAGE","6.8","90","2024-11-01 03:10:00","80","9","11","9","1020.3","26.6","27.2",NULL
"3.1","2.1","9.1","2.2","6.2","E","E","STEEP","6.9","79","2024-11-01 02:40:00","70","9","11","9","1020","26.6","27.2",NULL
"3","1.8","9.1","2.4","7.7","E","E","STEEP","6.9","91","2024-11-01 02:10:00","80","9","11","9","1020","26.5","27.2",NULL
"3","2.1","9.1","2.1","5.9","E","E","STEEP","6.9","91","2024-11-01 01:40:00","90","9","11","9","1020","26.6","27.2",NULL
"3.1","2.2","9.1","2.2","7.7","E","E","STEEP","7.1","90","2024-11-01 01:10:00","80","9","12","9.333333333333334","1020.2","26.7","27.2",NULL
"2.9","2","10","2","5.6","E","ENE","AVERAGE","7","82","2024-11-01 00:40:00","80","9","12","10","1020.1","26.6","27.2",NULL
"3.2","2.3","10","2.2","6.2","E","ENE","AVERAGE","7.1","92","2024-11-01 00:10:00","80","9","11","10","1020.4","26.6","27.2",NULL
"2.9","2.7","10","0.9","4.5","ENE","E","AVERAGE","6.7","72","2024-10-31 23:40:00","100","5","7","9.666666666666666","1020.8","25.4","27.3",NULL
"3","2.6","9.1","1.5","5.9","E","E","STEEP","7","93","2024-10-31 23:10:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2.8","2.1","9.1","1.8","7.7","E","E","AVERAGE","6.8","86","2024-10-31 22:40:00","120","8","12","8.333333333333334","1022","24.7","27.2",NULL
"2.7","2.3","7.1","1.4","6.2","E","E","VERY_STEEP","6.7","97","2024-10-31 22:10:00","100","7","9","8","1022.3","24.7","27.2",NULL
